iteration,convergenceIndicator,phase,Base_pop,EC50_pop,Emax_pop,gamma_pop,omega_Base,omega_EC50,omega_Emax,omega_gamma,a,b
54,14468.8,1,54.8979,297.718,0.864202,1.48083,0.535089,1.53245,0.40904,1.01036,1.52306,0.203984
55,14436.6,1,54.4933,346.301,0.884187,1.53079,0.527899,1.49365,0.398683,0.98478,1.51827,0.20397
56,14327.1,1,54.7678,315.254,0.881335,1.62642,0.515858,1.45583,0.388588,0.959845,1.42294,0.206609
57,14181.2,1,54.9064,330.925,0.873362,1.59647,0.518162,1.41897,0.378748,0.935541,1.25409,0.208337
58,14172,1,55.09,319.232,0.886083,1.72279,0.506183,1.38304,0.369158,0.946753,1.37835,0.20513
59,14142.3,1,55.7807,344.193,0.896667,1.69991,0.505011,1.34802,0.359811,0.939094,1.16561,0.209866
60,14076.4,1,55.4256,337.471,0.886988,1.77046,0.513043,1.31389,0.3507,0.915316,1.04872,0.21246
61,13935.6,1,55.6299,349.114,0.905343,1.81798,0.500052,1.28062,0.34182,0.89214,1.23024,0.20415
62,13941.1,1,55.9004,369.255,0.909696,1.88384,0.507626,1.24819,0.333165,0.86955,1.14502,0.204331
63,13937.9,1,55.1804,426.485,0.89614,1.948,0.517809,1.21659,0.324729,0.880381,1.24786,0.201765
64,13951.5,1,55.5373,426.618,0.914725,1.9376,0.525988,1.18578,0.316507,0.858089,1.28032,0.200126
65,13943.9,1,55.336,391.794,0.918674,1.95517,0.531542,1.15576,0.308493,0.904923,1.30418,0.200473
66,13880.6,1,55.6707,379.818,0.912565,2.03856,0.518083,1.12649,0.300682,0.88201,1.08127,0.212498
67,13824.1,1,55.3769,392.326,0.903843,2.01789,0.504965,1.09797,0.293068,0.859677,1.14593,0.209036
68,13761.1,1,55.6075,407.241,0.902891,2.05475,0.517705,1.07017,0.285648,0.837909,1.03861,0.212078
69,13717.3,1,54.5223,412.715,0.883448,2.12169,0.522296,1.04307,0.278415,0.816693,1.22248,0.202585
70,13696.7,1,54.7419,403.217,0.869124,2.19575,0.526562,1.01666,0.271365,0.799599,1.32422,0.199733
71,13645.2,1,54.8829,431.649,0.87299,2.04683,0.528723,0.990918,0.264494,0.804821,1.31747,0.197423
72,13584.8,1,54.5478,455.309,0.892568,1.94456,0.523089,0.965828,0.257797,0.812392,1.10653,0.203119
73,13511.9,1,55.2387,429.901,0.889333,1.92537,0.514194,0.941372,0.251269,0.808991,1.05414,0.200415
74,13528.4,1,54.8068,405.799,0.895382,1.99194,0.524969,0.917536,0.244907,0.842926,1.09253,0.201789
75,13511.8,1,54.7377,432.89,0.900941,2.11009,0.527089,0.894304,0.238706,0.847511,1.05021,0.200716
76,13431.2,1,55.3144,435.548,0.896486,2.1249,0.526452,0.871659,0.232662,0.845949,1.11566,0.196214
77,13485.9,1,55.1822,467.756,0.897166,2.15406,0.513122,0.849589,0.226771,0.870162,1.10766,0.200562
78,13398.7,1,55.2278,470.765,0.905187,2.20153,0.507037,0.828076,0.221029,0.848129,1.16878,0.194238
79,13335.2,1,55.5257,462.721,0.909795,2.10696,0.517012,0.807109,0.215432,0.828893,1.18131,0.19538
80,13297.4,1,55.2898,461.11,0.901036,2.20346,0.506966,0.786673,0.209977,0.856038,1.1422,0.196083
81,13235.2,1,55.1404,477.322,0.890921,2.21146,0.500811,0.766754,0.204661,0.836585,0.91272,0.200633
82,13279,1,55.2841,469.24,0.891467,2.26888,0.506839,0.747339,0.199478,0.817695,0.915211,0.20215
83,13296.8,1,55.1347,478.155,0.894736,2.23826,0.507,0.728416,0.194428,0.882555,0.953151,0.202145
84,13289.4,1,55.1299,444.288,0.918442,2.25423,0.498792,0.709972,0.189505,0.860208,1.12939,0.197789
85,13270.9,1,54.9111,479.232,0.90758,2.29072,0.512776,0.691995,0.184706,0.845308,1.11625,0.198474
86,13171,1,54.7803,491.475,0.906686,2.43639,0.513882,0.674473,0.180029,0.823904,1.07949,0.199296
87,13103.8,1,54.376,486.918,0.888964,2.57051,0.504067,0.657395,0.175471,0.827015,1.2761,0.190475
88,13141.1,1,55.0649,489.787,0.894258,2.39063,0.50896,0.64075,0.171028,0.806075,1.35849,0.188253
