iteration,convergenceIndicator,phase,Base_pop,EC50_pop,Emax_pop,gamma_pop,omega_Base,omega_EC50,omega_Emax,omega_gamma,a,b
233,12345.7,1,55.7463,500.235,0.890866,2.67995,0.485171,0.565701,0.0619423,0.412587,1.1085,0.203368
234,12344.9,1,55.2966,504.307,0.891932,2.7924,0.48986,0.573165,0.0603739,0.408032,0.990746,0.209207
235,12331.4,1,55.7372,516.575,0.897218,2.67466,0.499444,0.558652,0.0604093,0.400129,1.08422,0.204169
236,12283.6,1,55.4382,521.419,0.894451,2.74018,0.498004,0.544506,0.0615399,0.3918,1.11346,0.200767
237,12294.5,1,56.1401,531.237,0.892296,2.75039,0.499744,0.5561,0.0599817,0.383214,1.02523,0.205874
238,12274,1,55.104,522.561,0.890229,2.77508,0.48709,0.563494,0.0610189,0.373511,0.78224,0.220851
239,12257.4,1,55.3431,523.892,0.895072,2.66315,0.478231,0.553016,0.0594739,0.367552,0.810046,0.217818
240,12314.4,1,54.9018,524.532,0.895276,2.75142,0.484763,0.539013,0.0611083,0.363601,0.917494,0.217438
241,12301.4,1,54.879,542.44,0.892355,2.76745,0.495992,0.551133,0.0617606,0.362463,0.871822,0.215969
242,12350.6,1,55.2879,520.932,0.889515,2.78174,0.510021,0.553858,0.0609869,0.388662,0.784288,0.216965
243,12378.9,1,56.1633,519.275,0.890811,2.78948,0.516479,0.593451,0.0633739,0.379494,0.875905,0.213501
244,12338.8,1,55.443,514.05,0.890151,2.70009,0.505024,0.578425,0.0629612,0.369885,0.865052,0.216329
245,12268.6,1,55.1887,531.089,0.888589,2.77371,0.505731,0.563779,0.0623704,0.369686,0.887878,0.211396
246,12290.5,1,55.5124,525.478,0.888214,2.87698,0.499756,0.549504,0.0629204,0.379837,1.03418,0.207291
247,12287.6,1,55.4969,512.103,0.886872,2.85195,0.502567,0.53559,0.062779,0.370219,0.931036,0.212122
248,12359.9,1,55.5678,518.409,0.888894,2.74717,0.502855,0.557705,0.0632684,0.361504,0.868566,0.215694
249,12323.5,1,56.0073,511.647,0.890112,2.65423,0.490122,0.56747,0.0616665,0.366468,1.00278,0.213437
250,12373.6,1,56.5006,525.366,0.891869,2.59638,0.488412,0.553101,0.060105,0.383548,1.05835,0.209734
251,12298,1,55.4415,529.505,0.891042,2.62518,0.49008,0.550018,0.0585831,0.374473,0.856715,0.214492
252,12301.9,1,56.0018,520.154,0.888715,2.59939,0.499804,0.578663,0.0591192,0.375721,0.999296,0.204707
253,12271.7,1,55.1088,525.951,0.892198,2.65418,0.497885,0.579791,0.0600725,0.382761,1.155,0.198703
254,12340,1,54.8714,523.341,0.891396,2.61454,0.494708,0.61384,0.0615242,0.394702,1.02029,0.206207
255,12382.2,1,54.7932,533.921,0.887291,2.62249,0.518625,0.598297,0.0599664,0.399032,1.12682,0.20291
256,12405.9,1,54.3127,521.307,0.887562,2.65526,0.530399,0.583148,0.0622829,0.429946,0.915279,0.208534
257,12396,1,54.8569,520.555,0.888921,2.65992,0.523917,0.598491,0.0607059,0.419059,1.11831,0.201304
258,12336.2,1,54.8785,521.665,0.890341,2.5012,0.515651,0.583337,0.0630517,0.413191,1.21798,0.196244
259,12303.8,1,55.0219,512.921,0.894045,2.58751,0.504786,0.569617,0.0614552,0.421295,1.21797,0.195902
260,12302.1,1,55.8488,512.107,0.89495,2.5764,0.499918,0.555194,0.0619859,0.422336,1.15661,0.19564
261,12346.1,1,55.4496,521.998,0.897777,2.55172,0.51204,0.543245,0.0608995,0.441956,1.12319,0.200056
262,12386.2,1,56.4633,503.52,0.897084,2.53611,0.509027,0.569251,0.0669368,0.430765,0.895768,0.206675
263,12364.8,1,56.3627,498.928,0.892198,2.5342,0.508494,0.576967,0.0652419,0.435207,0.861298,0.207705
264,12302,1,55.7365,496.863,0.891041,2.48957,0.513446,0.56542,0.0635899,0.429427,0.860657,0.208111
265,12310.6,1,55.9452,487.647,0.886625,2.60559,0.523387,0.568449,0.0645012,0.418553,0.939769,0.20429
266,12301.7,1,56.5322,501.549,0.892238,2.52206,0.510963,0.555559,0.062868,0.425471,0.865905,0.206058
267,12311.5,1,55.5391,502.365,0.891123,2.51761,0.517671,0.578319,0.0612761,0.43782,0.915536,0.205771
268,12468.2,1,55.5029,503.877,0.894181,2.53359,0.514859,0.599926,0.063866,0.451749,0.954663,0.208747
269,12403.1,1,55.4106,502.849,0.89295,2.50853,0.512383,0.584736,0.0622488,0.481467,1.02286,0.20336
270,12371.6,1,55.0428,522.701,0.894747,2.6339,0.516958,0.56993,0.0610434,0.491692,1.11059,0.199028
271,12370.7,1,54.5638,539.684,0.894732,2.73058,0.513507,0.560697,0.0598908,0.504418,0.959858,0.204745
272,12392.9,1,54.4995,544.91,0.895534,2.79077,0.500505,0.547325,0.059479,0.511915,0.861303,0.211783
273,12441,1,55.2898,527.598,0.89326,2.73683,0.501874,0.533466,0.0609098,0.511758,0.900784,0.210214
274,12418.2,1,55.0476,522.964,0.890754,2.70812,0.507488,0.549936,0.0622372,0.539542,0.866828,0.209692
275,12392.6,1,54.8835,536.768,0.887747,2.74396,0.495565,0.552011,0.0606613,0.525881,0.667898,0.218331
276,12399.3,1,55.1114,529.513,0.889871,2.84028,0.514268,0.559759,0.0616741,0.512565,0.763937,0.214912
277,12419.1,1,54.8468,531.55,0.891087,2.84321,0.501247,0.545585,0.0601125,0.499587,0.75673,0.219322
278,12392.3,1,54.799,537.102,0.886942,2.78477,0.515215,0.548473,0.0610339,0.486937,0.802261,0.213299
279,12337,1,55.1387,532.353,0.889542,2.80014,0.527222,0.566585,0.0594885,0.474607,0.906248,0.207661
280,12382,1,55.0739,524.015,0.888579,2.86366,0.520359,0.556937,0.0579822,0.487575,0.64698,0.222003
281,12365.2,1,54.7337,528.464,0.889943,2.77197,0.511904,0.542835,0.056514,0.505805,0.498316,0.226164
282,12324,1,54.9276,524.142,0.89126,2.84869,0.529775,0.540949,0.0562629,0.492998,0.584315,0.221967
283,12411.4,1,54.4349,517.085,0.892469,2.69642,0.530925,0.576335,0.0590793,0.489968,0.702075,0.219715
284,12423.9,1,54.3471,543.388,0.887961,2.77051,0.526792,0.569466,0.0579586,0.490763,0.833976,0.215093
285,12407,1,54.4774,550.748,0.892946,2.70782,0.529545,0.585323,0.0564911,0.478336,0.908219,0.212918
286,12432.5,1,54.0274,539.567,0.892341,2.65902,0.527395,0.570502,0.0602286,0.466225,1.01864,0.210097
287,12413.4,1,54.3293,532.966,0.887944,2.71963,0.518876,0.556056,0.0587036,0.454419,0.976856,0.211865
288,12412.6,1,54.0984,524.342,0.884579,2.73297,0.511249,0.541977,0.0607184,0.457878,0.953927,0.21225
289,12371.4,1,54.8449,515.587,0.887143,2.71389,0.509107,0.535344,0.0616506,0.454856,1.121,0.203465
290,12352.4,1,54.7326,524.493,0.885103,2.67013,0.496216,0.539147,0.0618244,0.475124,1.08394,0.203065
291,12339,1,55.7072,511.007,0.884671,2.71396,0.501439,0.530148,0.0602589,0.485583,1.15377,0.199438
292,12383,1,56.3227,500.388,0.887426,2.65743,0.493415,0.520553,0.0587331,0.487246,1.01298,0.206766
293,12328.3,1,56.1563,503.734,0.888738,2.74553,0.505523,0.513742,0.057246,0.501629,0.979772,0.205597
294,12371.6,1,56.5365,517.365,0.893266,2.7603,0.506643,0.52187,0.0584811,0.488928,1.1236,0.20311
295,12400,1,56.1138,516.715,0.895085,2.73797,0.515908,0.521355,0.0580131,0.50414,1.30706,0.194754
296,12384.1,1,55.6314,494.77,0.892082,2.67556,0.503237,0.547001,0.0565442,0.519632,1.14966,0.199832
297,12348.2,1,55.8829,510.153,0.89247,2.61901,0.505071,0.533451,0.0551125,0.523199,1.09901,0.200836
298,12373,1,56.2952,511.775,0.896592,2.65219,0.513104,0.519944,0.0553427,0.534095,0.996828,0.204899
299,12381.1,1,56.5689,500.86,0.891375,2.75331,0.500112,0.513387,0.0539414,0.520572,0.962587,0.211267
300,12339.7,1,56.0609,506.181,0.891732,2.71226,0.509031,0.509304,0.0525756,0.523219,1.17862,0.199155
301,12394.8,1,56.2472,515.703,0.890397,2.70158,0.512023,0.496408,0.0513246,0.54062,1.23079,0.200815
302,12353.7,1,55.7834,498.236,0.88909,2.69563,0.509624,0.496178,0.0541743,0.526931,1.16924,0.201989
303,12339.4,1,56.1564,518.221,0.887427,2.76697,0.50433,0.499251,0.0528026,0.513589,1.31491,0.1953
304,12407.2,1,56.1949,518.835,0.884449,2.76842,0.502176,0.48661,0.0545723,0.521563,1.26683,0.200535
305,12399.1,1,55.9996,502.272,0.885307,2.66664,0.512255,0.483453,0.0531905,0.531694,1.18,0.204753
306,12369.6,1,55.9003,508.564,0.884349,2.77272,0.499284,0.496207,0.0518437,0.521946,1.29352,0.20177
307,12520.4,2,55.8602,522.902,0.882783,2.75432,0.505088,0.532249,0.0544193,0.512041,1.26822,0.20574
308,12525.2,2,56.2043,512.89,0.880575,2.82802,0.501243,0.548726,0.0530414,0.525627,1.26546,0.205031
309,12542.1,2,55.7169,513.288,0.884353,2.78331,0.506085,0.564331,0.0514871,0.508805,1.07899,0.214418
310,12449.5,2,55.4566,519.088,0.889091,2.88687,0.506726,0.577728,0.0506146,0.522209,0.955801,0.211582
311,12472.4,2,55.4232,520.953,0.888886,2.92441,0.49741,0.587644,0.0499192,0.533509,0.954201,0.21163
312,12405.9,2,55.3816,513.781,0.887083,2.93217,0.499549,0.557338,0.047832,0.505449,0.971438,0.212057
313,12346.8,2,55.3761,489.73,0.888507,2.78603,0.500479,0.557542,0.0473935,0.493605,0.861062,0.21451
314,12276.3,2,55.6525,496.521,0.888095,2.86472,0.487834,0.553398,0.0437693,0.475443,0.89578,0.215942
315,12328.7,2,55.6656,499.78,0.889283,2.88626,0.4922,0.556704,0.0448603,0.47604,0.890311,0.217077
316,12371,2,55.7632,521.062,0.886609,2.90358,0.486613,0.56551,0.0458727,0.465401,0.801153,0.221865
317,12319.5,2,55.5612,519.298,0.888206,2.89839,0.489089,0.575627,0.0446743,0.459416,0.817845,0.220057
318,12355,2,55.0136,523.735,0.88731,2.93636,0.488005,0.567483,0.0452658,0.4584,0.928578,0.21773
319,12328.5,2,55.5012,519.874,0.88697,2.86228,0.486738,0.56166,0.0459014,0.462673,0.822599,0.221012
320,12328.2,2,55.7468,526.118,0.886968,2.86884,0.486979,0.558963,0.048564,0.466669,0.753952,0.22029
321,12361,2,55.8779,529.769,0.887899,2.85672,0.49212,0.554699,0.050087,0.475655,0.818672,0.216627
322,12331,2,56.1892,529.475,0.889545,2.82947,0.494023,0.567229,0.0499621,0.468129,0.767144,0.21765
323,12420.2,2,56.4641,527.668,0.893207,2.84476,0.496585,0.566205,0.0512607,0.474903,0.815899,0.216951
324,12386.1,2,56.3951,534.602,0.893259,2.84209,0.505545,0.567331,0.0515288,0.475135,0.821329,0.216339
325,12320.8,2,56.2285,531.428,0.893029,2.77959,0.506117,0.555366,0.0512596,0.475871,0.764535,0.218123
326,12347.7,2,56.1429,529.065,0.894045,2.76345,0.504415,0.555882,0.0499596,0.483856,0.796927,0.217492
327,12343.2,2,55.979,531.68,0.895413,2.77141,0.502119,0.556178,0.0480046,0.495122,0.795945,0.218763
328,12271.8,2,55.7033,531.131,0.89695,2.75294,0.502314,0.556196,0.0466905,0.491203,0.764338,0.219463
329,12289.8,2,55.4125,528.663,0.896832,2.72414,0.502346,0.555872,0.0453255,0.488783,0.687853,0.223565
330,12333.3,2,55.1405,529.202,0.896254,2.71273,0.50509,0.566639,0.0456043,0.480547,0.703896,0.222914
331,12325.2,2,54.9244,533.791,0.894433,2.72391,0.509182,0.564087,0.045592,0.474661,0.771613,0.220274
332,12298.3,2,54.8747,530.598,0.893172,2.72974,0.508602,0.555825,0.0459492,0.475097,0.799418,0.218912
333,12270.5,2,54.8964,531.688,0.893374,2.71052,0.510666,0.551809,0.0467505,0.473621,0.789979,0.21846
334,12289.8,2,54.9991,529.086,0.89374,2.7405,0.510833,0.546035,0.0472826,0.471996,0.820947,0.216743
335,12250.4,2,55.1627,529.426,0.892524,2.75197,0.509466,0.543088,0.04642,0.475236,0.860573,0.214438
336,12253.6,2,55.1869,529.45,0.891856,2.79023,0.509597,0.539125,0.0460866,0.474454,0.907395,0.212393
337,12236.5,2,55.259,525.937,0.891205,2.81019,0.509284,0.534566,0.0472582,0.475178,0.942512,0.209839
338,12298.7,2,55.3327,527.471,0.890786,2.83078,0.507911,0.54062,0.0479917,0.475109,0.961958,0.208256
339,12274.9,2,55.2591,528.581,0.88927,2.82829,0.504579,0.539553,0.0481496,0.471968,0.99781,0.207071
340,12263.2,2,55.3024,530.472,0.889045,2.79629,0.503815,0.550011,0.048115,0.466581,1.01532,0.205815
341,12251.3,2,55.3093,528.774,0.888916,2.77861,0.504355,0.558317,0.0474688,0.464122,1.05302,0.203641
342,12325.6,2,55.2669,529.746,0.88888,2.75762,0.503648,0.564655,0.0475436,0.466234,1.0561,0.203802
343,12330.3,2,55.1067,530.786,0.888282,2.74834,0.506211,0.569153,0.0481928,0.469678,1.03879,0.204307
344,12318.7,2,54.9978,529.819,0.887946,2.75012,0.508545,0.574143,0.0488393,0.470317,1.01559,0.20497
345,12314,2,54.8848,532.855,0.887989,2.74809,0.511113,0.574964,0.0489983,0.471811,1.01917,0.204459
346,12296.8,2,54.8777,533.765,0.887916,2.76025,0.514465,0.573219,0.0492446,0.472326,1.02727,0.203554
347,12281,2,54.9116,532.499,0.887592,2.76807,0.516631,0.571448,0.0490957,0.472318,1.04637,0.202789
348,12324.9,2,54.8986,532.597,0.887389,2.75827,0.517949,0.57014,0.0490541,0.475322,1.02726,0.203701
349,12303.1,2,54.955,531.328,0.88727,2.75581,0.51972,0.568266,0.0490447,0.474933,1.04047,0.203196
350,12348,2,54.9577,531.342,0.887307,2.75383,0.521889,0.568236,0.0490685,0.474086,1.03023,0.203934
351,12342.2,2,54.8964,531.667,0.88655,2.76053,0.521642,0.568519,0.0492041,0.473476,1.02397,0.204536
352,12332.6,2,54.8529,532.299,0.886242,2.76141,0.519933,0.568912,0.0494287,0.475266,1.01639,0.204848
353,12323.8,2,54.8624,532.645,0.88608,2.76551,0.518778,0.569263,0.0498381,0.475557,1.00403,0.205133
354,12208.8,2,54.8809,532.538,0.885812,2.75942,0.518339,0.567183,0.049482,0.474756,0.989958,0.205494
355,12208.3,2,54.9004,531.732,0.886055,2.75244,0.518803,0.566478,0.0492667,0.472287,0.988476,0.205371
356,12264.4,2,54.9478,530.57,0.886249,2.7528,0.519463,0.566577,0.0492132,0.470977,0.981365,0.205609
357,12338.3,2,55.0016,529.275,0.886414,2.75492,0.519835,0.566531,0.0491453,0.47084,0.980382,0.205756
358,12293.4,2,55.0101,528.803,0.886401,2.75423,0.519736,0.566409,0.0491547,0.470875,0.978631,0.205834
359,12246.3,2,55.0184,528.265,0.886417,2.75418,0.5194,0.565822,0.0491397,0.471236,0.977011,0.205892
360,12255.4,2,55.0202,528.099,0.886409,2.7562,0.519185,0.56547,0.0491359,0.471478,0.975367,0.205947
361,12278.6,2,55.0321,527.853,0.886339,2.75747,0.519183,0.565382,0.0491329,0.471373,0.974502,0.205987
362,12205.4,2,55.0287,527.655,0.886277,2.7587,0.519213,0.565255,0.049087,0.470908,0.973979,0.206002
363,12195.1,2,55.0331,527.571,0.886241,2.75952,0.519229,0.565091,0.049035,0.471038,0.974083,0.205933
364,12242.8,2,55.0295,527.506,0.886176,2.75895,0.519344,0.565244,0.0490436,0.470945,0.973404,0.205911
365,12280.9,2,55.0283,527.584,0.886172,2.75852,0.519488,0.565434,0.0490409,0.471165,0.971987,0.205934
366,12283.3,2,55.0278,527.953,0.886183,2.75903,0.519661,0.565835,0.0490358,0.470671,0.972766,0.205904
367,12258,2,55.023,528.57,0.886258,2.75789,0.519786,0.56625,0.0490641,0.470209,0.972403,0.205861
368,12285.4,2,55.0209,528.668,0.886332,2.75562,0.519888,0.566537,0.0490423,0.470387,0.973657,0.205791
369,12317.9,2,55.027,528.856,0.886381,2.75436,0.520005,0.567432,0.0489916,0.470296,0.970389,0.205887
370,12247.7,2,55.0237,528.877,0.886487,2.75289,0.519984,0.567527,0.0489504,0.470199,0.970731,0.205849
371,12191.1,2,55.0116,528.947,0.886558,2.75236,0.519915,0.567563,0.0489009,0.469807,0.968547,0.205932
372,12259.4,2,54.9969,528.937,0.886581,2.75175,0.52011,0.567192,0.0489455,0.469327,0.965473,0.206059
373,12244.4,2,54.9983,529.143,0.886697,2.75095,0.520315,0.566961,0.0489951,0.469126,0.96203,0.20615
374,12286,2,54.9977,529.337,0.886787,2.74904,0.520421,0.566967,0.0489895,0.469281,0.96216,0.206124
375,12319.5,2,54.9948,529.603,0.886832,2.74863,0.520443,0.567281,0.0490097,0.469738,0.962263,0.206105
376,12285.4,2,54.9931,529.632,0.88688,2.74841,0.520391,0.567452,0.049012,0.469606,0.963127,0.206104
377,12257.8,2,54.9983,529.737,0.886895,2.74837,0.520214,0.567359,0.04901,0.469437,0.963379,0.206097
378,12298.5,2,54.9985,529.905,0.886897,2.74792,0.520138,0.567325,0.0490146,0.469933,0.963255,0.206103
379,12305.9,2,54.9958,529.824,0.886858,2.74812,0.520091,0.567405,0.049025,0.470408,0.964792,0.206048
380,12390.6,2,55.0052,529.994,0.886873,2.74869,0.520071,0.567665,0.0490014,0.471217,0.966738,0.206008
381,12310.6,2,55.0133,529.94,0.886894,2.74871,0.520177,0.567989,0.0489968,0.471564,0.966551,0.205983
382,12265.1,2,55.0161,529.934,0.886916,2.74901,0.520272,0.567745,0.048946,0.471786,0.9664,0.205996
383,12329.3,2,55.019,529.886,0.886911,2.74942,0.52034,0.567698,0.0489161,0.472131,0.967597,0.205975
384,12298.8,2,55.0257,529.761,0.886889,2.7494,0.520346,0.567458,0.0489328,0.472369,0.969497,0.20586
385,12321.1,2,55.0365,529.835,0.886854,2.74818,0.520352,0.56753,0.0489289,0.472311,0.970387,0.205833
386,12333.4,2,55.0446,529.801,0.886879,2.74622,0.520389,0.567465,0.0489406,0.472293,0.97177,0.205808
387,12250.2,2,55.0564,529.84,0.886947,2.7462,0.520413,0.567376,0.0489429,0.472173,0.969514,0.205871
388,12302.8,2,55.0609,529.812,0.886991,2.74741,0.520393,0.56734,0.0489468,0.472414,0.967931,0.205944
389,12298.1,2,55.0687,529.741,0.887021,2.74769,0.520337,0.56732,0.0489685,0.472448,0.968144,0.205931
390,12289.1,2,55.0706,529.643,0.887084,2.74785,0.520259,0.567475,0.048964,0.4724,0.967537,0.205964
391,12322,2,55.0797,529.481,0.887167,2.74679,0.520148,0.567847,0.0489717,0.472406,0.967989,0.205964
392,12320,2,55.0883,529.316,0.887222,2.74594,0.520043,0.567946,0.0490225,0.472573,0.967789,0.205951
393,12252.2,2,55.1003,529.259,0.887221,2.74545,0.520151,0.567466,0.0490425,0.47284,0.969087,0.205868
394,12228.7,2,55.1081,529.261,0.887269,2.74508,0.520282,0.567221,0.0490165,0.473063,0.97011,0.205808
395,12274.7,2,55.1158,529.219,0.88725,2.7462,0.520426,0.56731,0.0489946,0.473377,0.971407,0.205723
396,12302.2,2,55.1291,529.195,0.887304,2.74738,0.520611,0.567159,0.0490052,0.473402,0.971038,0.205732
397,12264.2,2,55.1404,529.266,0.887361,2.747,0.520731,0.567001,0.0490155,0.473494,0.970284,0.205732
398,12288.7,2,55.1471,529.543,0.887433,2.74729,0.520855,0.566583,0.0490157,0.473585,0.970947,0.20573
399,12322.6,2,55.1458,529.693,0.887481,2.74826,0.520788,0.566555,0.0490208,0.473586,0.970531,0.205786
400,12371.2,2,55.1513,529.592,0.887486,2.74876,0.520678,0.566663,0.0490077,0.473572,0.970354,0.205856
401,12297.5,2,55.1509,529.508,0.887494,2.7499,0.520643,0.566456,0.0489794,0.473614,0.971266,0.205857
402,12247.1,2,55.1551,529.438,0.887513,2.75094,0.520694,0.566353,0.0489423,0.473315,0.972415,0.205818
403,12303.8,2,55.1658,529.239,0.887544,2.75128,0.520775,0.56643,0.0489293,0.473193,0.972666,0.205809
404,12331.1,2,55.1693,529.3,0.887505,2.75182,0.520854,0.566493,0.048935,0.472979,0.972356,0.205843
405,12344.7,2,55.1734,529.347,0.887487,2.75261,0.520974,0.566446,0.0489418,0.472863,0.973203,0.20583
406,12292.3,2,55.1809,529.416,0.88744,2.75384,0.521002,0.566482,0.0489525,0.472465,0.974708,0.205768
407,12196.6,2,55.1849,529.509,0.887421,2.75426,0.520954,0.566267,0.0489299,0.471866,0.976754,0.205692
408,12263.8,2,55.186,529.618,0.887422,2.75465,0.521006,0.566004,0.0489269,0.471532,0.97663,0.205722
409,12254.7,2,55.1928,529.512,0.887433,2.75458,0.520967,0.566046,0.0489224,0.471058,0.977212,0.205703
410,12271.9,2,55.1976,529.49,0.887443,2.75391,0.521012,0.56625,0.0489019,0.470729,0.97601,0.205754
411,12233.2,2,55.2041,529.496,0.88746,2.75358,0.520981,0.566235,0.0488839,0.470441,0.976239,0.205753
412,12237.6,2,55.2144,529.468,0.887471,2.75276,0.52087,0.566152,0.0489126,0.470291,0.976226,0.205714
413,12271.4,2,55.2201,529.18,0.887491,2.75208,0.520798,0.566168,0.0489101,0.470345,0.975988,0.205726
414,12241.8,2,55.2268,528.92,0.887511,2.75181,0.520659,0.566119,0.0488907,0.469986,0.975981,0.205745
415,12203.9,2,55.2301,528.884,0.887516,2.75141,0.52064,0.565842,0.0488649,0.469721,0.977391,0.205702
416,12203.5,2,55.2317,528.903,0.887547,2.75064,0.520565,0.565534,0.0488861,0.469631,0.978357,0.205641
417,12265.1,2,55.2339,529.022,0.887566,2.74968,0.520516,0.565273,0.0488804,0.46973,0.97985,0.205593
418,12319.9,2,55.2363,528.957,0.887557,2.74891,0.520408,0.565361,0.048886,0.469645,0.980084,0.205596
419,12343.8,2,55.2402,528.904,0.887566,2.74925,0.520315,0.565254,0.0488992,0.469691,0.980836,0.205592
420,12257.7,2,55.2418,528.97,0.887558,2.74947,0.520302,0.564946,0.0489375,0.469559,0.981345,0.205546
421,12346.7,2,55.2369,528.992,0.887534,2.7503,0.520203,0.564626,0.0489553,0.469712,0.980238,0.205608
422,12317.2,2,55.2343,528.924,0.887541,2.75095,0.520129,0.564496,0.0489737,0.469698,0.980382,0.20563
423,12314,2,55.2347,528.698,0.88753,2.75054,0.52001,0.564438,0.0489835,0.469737,0.981249,0.205611
424,12284.8,2,55.2358,528.568,0.88753,2.75011,0.519828,0.564388,0.0489901,0.469901,0.980225,0.205654
425,12306,2,55.2386,528.461,0.887505,2.75002,0.5197,0.564497,0.0489784,0.470223,0.980066,0.205655
426,12326,2,55.2415,528.358,0.887501,2.75076,0.519629,0.564635,0.0489938,0.47037,0.981382,0.205609
427,12357,2,55.2453,528.297,0.887489,2.75136,0.5196,0.565034,0.0489872,0.47035,0.981825,0.205617
428,12308,2,55.2505,528.194,0.887495,2.75227,0.519624,0.565413,0.048987,0.470222,0.982715,0.20557
429,12333,2,55.2512,528.123,0.88749,2.75214,0.519593,0.565806,0.0489918,0.470094,0.984707,0.205482
430,12286.8,2,55.2513,528.181,0.887487,2.75202,0.519602,0.565974,0.0489958,0.469941,0.985593,0.205438
431,12246.2,2,55.2505,528.291,0.887472,2.75233,0.519669,0.565902,0.0490119,0.469735,0.987626,0.205345
432,12306.8,2,55.249,528.333,0.88744,2.75233,0.519634,0.56607,0.0490444,0.469706,0.988467,0.205311
